scenario,group,value,reps,msgs_s_mean,msgs_s_std,committed_s_mean,committed_s_std,req_p50_mean,req_p50_std,req_p95_mean,req_p95_std,req_p99_mean,req_p99_std,req_p999_mean,req_p999_std,e2e_p50_mean,e2e_p50_std,e2e_p95_mean,e2e_p95_std,e2e_p99_mean,e2e_p99_std,e2e_p999_mean,e2e_p999_std,db_p50_mean,db_p50_std,db_p95_mean,db_p95_std,db_p99_mean,db_p99_std,db_p999_mean,db_p999_std,cpu_cores_mean,cpu_cores_std,mem_mb_mean,mem_mb_std
timescale_load_p16.env,load,p16,3,14799.6426,275.2115,14798.0554,275.5318,1.0774,0.0269,1.9230,0.0737,2.5013,0.1058,3.8418,0.5714,23.0861,3.3655,64.7390,0.9979,87.7537,16.3002,130.9373,36.6726,21.9827,3.3343,63.5575,1.1020,86.0160,15.9775,129.3286,36.3225,4.5920,0.0355,492.6934,6.4864
timescale_load_p20.env,load,p20,3,19135.8657,6.1015,19126.2870,4.2361,1.0477,0.0474,1.8285,0.0452,2.5730,0.0094,4.7873,0.3214,18.6994,2.7192,60.5661,2.0239,105.5163,3.5673,179.7434,0.1321,17.6628,2.6581,59.4322,2.0300,103.8810,3.7180,176.9457,0.3770,5.9566,0.0375,594.4610,17.9877
timescale_load_p32.env,load,p32,3,31180.3181,38.6916,31192.8145,53.4424,1.0589,0.0923,2.3410,0.0993,5.4242,0.7742,16.3586,4.9243,16.3120,2.6396,138.2346,136.5572,289.4211,287.1577,415.9001,356.0013,15.1282,2.7211,137.0698,136.8564,287.7206,286.7663,413.7888,356.4099,8.2595,0.1284,805.4851,9.6576
timescale_load_p48.env,load,p48,3,47094.3569,115.6456,47073.3208,118.2005,2.1503,0.0710,28.2843,5.3680,82.1157,11.5454,155.1177,3.0085,20.8653,2.9148,87.5544,14.8830,167.9221,27.5954,263.8637,39.2161,17.2995,2.9069,65.4505,12.0594,122.0360,20.4801,215.9560,24.1488,9.6877,0.2390,1149.7922,18.9922
timescale_load_p64.env,load,p64,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5826,0.3698,1376.3250,59.8312
timescale_payload_0.env,payload,0,3,19134.5422,116.8617,19130.1223,124.3312,1.0488,0.0493,1.8588,0.0785,2.4311,0.2189,4.0688,0.6427,36.8166,3.2112,166.3017,113.5538,373.6520,242.6550,517.0107,343.6511,35.7474,3.2634,164.8583,112.9867,372.2750,242.8512,515.7416,343.3515,6.0355,0.0656,597.6722,9.7518
timescale_payload_10kb.env,payload,10kb,3,11697.2471,100.9338,11695.2191,102.2248,221.5078,12.9313,546.9360,60.7754,702.8462,177.0403,758.8781,201.1877,248.4004,16.5219,574.2557,55.7908,733.2892,169.2190,797.7736,192.2928,19.2706,4.9914,73.7310,1.3059,110.0116,20.3510,159.4296,43.0737,7.9788,0.0565,591.7271,20.5752
timescale_payload_1kb.env,payload,1kb,3,19161.8124,45.6343,19164.1235,53.2484,0.7886,0.0311,1.3748,0.0652,2.2488,0.2818,5.7996,1.0683,24.8560,8.4958,118.4873,81.6676,225.6693,167.8778,335.8032,223.3263,24.0058,8.5149,117.5613,81.3861,224.1463,167.4142,335.1364,223.0248,6.8536,0.0687,570.5726,16.0024
timescale_payload_256b.env,payload,256b,3,19158.5652,64.2164,19163.1669,76.1259,0.7723,0.0305,1.2780,0.0149,1.7953,0.0419,3.7410,0.5727,28.1213,17.4794,296.1503,336.1795,429.8101,457.7440,548.6221,522.3523,27.4045,17.5766,295.6932,336.5028,429.6161,458.8821,547.4035,523.2146,6.5018,0.1445,543.4833,16.2027
timescale_pool_05.env,pool,05,3,19166.5471,35.6358,11875.8515,1586.0503,1.0134,0.0836,1.8614,0.1083,2.6051,0.2223,5.1936,0.2228,4775.2817,3378.6580,12270.1131,5529.3148,14235.4704,6073.0566,14910.4137,6198.8351,4768.4326,3373.4769,12260.8420,5510.7854,14257.6577,6052.3208,15014.9979,6190.0053,4.7979,0.1086,603.8317,19.0800
timescale_pool_10.env,pool,10,3,19177.2010,75.8629,18485.9058,169.8577,1.0703,0.0650,1.8875,0.0885,2.7112,0.0313,5.2774,0.1880,32.2188,12.3753,2040.9597,929.7791,3912.4851,1536.4268,4679.7932,1782.7988,31.2139,12.4350,2036.2273,931.1853,3913.5847,1538.3350,4676.6473,1782.3773,5.3423,0.0532,573.2520,9.3426
timescale_pool_20.env,pool,20,3,19071.9082,21.1577,19066.5871,22.5495,1.0740,0.0415,1.9385,0.0514,2.7679,0.1701,5.5522,1.4130,19.6315,2.6640,60.3738,1.3281,106.1534,2.4626,178.2143,1.1989,18.5088,2.7286,59.1119,1.3439,104.3545,2.2005,175.7315,0.4443,5.8203,0.1060,576.9390,19.9424
timescale_pool_50.env,pool,50,3,19114.9653,21.8282,19110.7979,20.4333,1.0900,0.0510,1.9390,0.1325,2.6472,0.2452,5.0639,1.0031,38.9046,0.9707,131.4923,0.6809,170.7354,4.2068,201.3755,0.0127,37.6905,1.1207,130.2786,0.9351,169.2471,3.7076,199.5966,0.4152,6.7257,0.0865,606.6557,6.4673
